Molecule ChEMBL ID	Smiles	Standard Type	Standard Value
CHEMBL416783	N/C(=N\O)c1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1	Ki	0.02004
CHEMBL377329	CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1	Ki	0.0045
CHEMBL178421	CC(C)CN([C@@H](CCCCNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)S(=O)(=O)c1ccc(N)cc1	Ki	2.1
CHEMBL139397	CCNC(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1	Ki	72
CHEMBL146890	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](Nc1ccc(-c2ccccc2)cc1)C(=O)N[C@H](C(=O)NCc1nc2ccccc2[nH]1)C(C)C	Ki	8912509381
CHEMBL415536	COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](NC(=O)OCc2nc3cc[nH]cc-3n2)C(C)(C)C)cc1	Ki	4.46684E+11
CHEMBL223824	Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.28
CHEMBL104695	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccccc1)C(=O)N[C@H](C(=O)NCc1ccccn1)C(C)C	Ki	12
CHEMBL36862	Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1	Ki	1.698
CHEMBL178593			
CHEMBL1323			
CHEMBL148049	COc1ccc(CN[C@@H](C(=O)NCc2nc3ccccc3[nH]2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1	Ki	2.29087E+12
CHEMBL326566	CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)=C(O)O1	Ki	6
CHEMBL423199	CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccc(CNC(=O)Nc2ccccc2)cc1)C(=O)N[C@H]1c2ccccc2CC1O	Ki	3311311215
CHEMBL344977	COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](O)Cc2ccccc2)C(C)(C)C)cc1	Ki	6025595861
CHEMBL54009	Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C	Ki	21.7
CHEMBL438727	COc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ccc(C)cn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.069
CHEMBL116	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	Ki	0.82
CHEMBL144448	COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)N(C)Cc2nc3ccccc3[nH]2)C(C)C)cc1	Ki	10232929923
CHEMBL36939	O=C1N[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	2.57
CHEMBL37313	O=C1N(Cc2cccc(O)c2)[C@H]([C@@H](F)Cc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	12
